Year,Problem,Type,Award,Count
2020,C,MCM,H,1884
2020,C,MCM,S,4915
2020,C,MCM,U,29
2020,C,MCM,D,63
2020,C,MCM,N,0
2020,D,ICM,O,7
2020,D,ICM,F,83
2020,D,ICM,M,180
2020,D,ICM,H,438
2020,D,ICM,S,1332
2020,D,ICM,U,3
2020,D,ICM,D,44
2020,D,ICM,N,2
2020,E,ICM,O,5
2020,E,ICM,F,75
2020,E,ICM,M,204
2020,E,ICM,H,563
2020,E,ICM,S,1595
2020,E,ICM,U,10
2020,E,ICM,D,76
2020,E,ICM,N,0
2020,F,ICM,O,6
2020,F,ICM,F,76
2020,F,ICM,M,181
2020,F,ICM,H,566
2020,F,ICM,S,1693
2020,F,ICM,U,21
2020,F,ICM,D,43
2020,F,ICM,N,0
2021,A,MCM,O,6
2021,A,MCM,F,67
2021,A,MCM,M,322
2021,A,MCM,H,1249
2021,A,MCM,S,2692
2021,A,MCM,U,21
2021,A,MCM,D,124
2021,A,MCM,N,6
2021,B,MCM,O,5
2021,B,MCM,F,103
2021,B,MCM,M,195
2021,B,MCM,H,665
2021,B,MCM,S,2065
2021,B,MCM,U,4
2021,B,MCM,D,65
2021,B,MCM,N,3
2021,C,MCM,O,6
2021,C,MCM,F,114
2021,C,MCM,M,180
2021,C,MCM,H,500
2021,C,MCM,S,1644
2021,C,MCM,U,1
2021,C,MCM,D,14
2021,C,MCM,N,2
2021,D,ICM,O,8
2021,D,ICM,F,93
2021,D,ICM,M,465
2021,D,ICM,H,1036
2021,D,ICM,S,3815
2021,D,ICM,U,13
2021,D,ICM,D,115
2021,D,ICM,N,6
2021,E,ICM,O,5
2021,E,ICM,F,114
2021,E,ICM,M,227
2021,E,ICM,H,705
2021,E,ICM,S,2342
2021,E,ICM,U,14
2021,E,ICM,D,114
2021,E,ICM,N,0
2021,F,ICM,O,6
2021,F,ICM,F,94
2021,F,ICM,M,499
2021,F,ICM,H,1168
2021,F,ICM,S,4879
2021,F,ICM,U,16
2021,F,ICM,D,322
2021,F,ICM,N,3
2022,A,MCM,O,7
2022,A,MCM,F,104
2022,A,MCM,M,111
2022,A,MCM,H,630
2022,A,MCM,S,1955
2022,A,MCM,U,29
2022,A,MCM,D,46
2022,A,MCM,N,1
2022,B,MCM,O,6
2022,B,MCM,F,95
2022,B,MCM,M,151
2022,B,MCM,H,468
2022,B,MCM,S,1419
2022,B,MCM,U,9
2022,B,MCM,D,31
2022,B,MCM,N,0
2022,C,MCM,O,10
2022,C,MCM,F,186
2022,C,MCM,M,756
2022,C,MCM,H,2044
2022,C,MCM,S,6527
2022,C,MCM,U,38
2022,C,MCM,D,481
2022,C,MCM,N,2
2022,D,ICM,O,4
2022,D,ICM,F,55
2022,D,ICM,M,71
2022,D,ICM,H,168
2022,D,ICM,S,628
2022,D,ICM,U,6
2022,D,ICM,D,23
2022,D,ICM,N,0
2022,E,ICM,O,10
2022,E,ICM,F,153
2022,E,ICM,M,509
2022,E,ICM,H,1860
2022,E,ICM,S,5405
2022,E,ICM,U,37
2022,E,ICM,D,204
2022,E,ICM,N,3
2022,F,ICM,O,7
2022,F,ICM,F,91
2022,F,ICM,M,199
2022,F,ICM,H,633
2022,F,ICM,S,1982
2022,F,ICM,U,24
2022,F,ICM,D,27
2022,F,ICM,N,1
2023,A,MCM,O,7
2023,A,MCM,F,92
2023,A,MCM,M,172
2023,A,MCM,H,546
2023,A,MCM,S,1629
2023,A,MCM,U,23
2023,A,MCM,D,86
2023,A,MCM,N,2
2023,B,MCM,O,3
2023,B,MCM,F,42
2023,B,MCM,M,50
2023,B,MCM,H,140
2023,B,MCM,S,441
2023,B,MCM,U,3
2023,B,MCM,D,47
2023,B,MCM,N,2
2023,C,MCM,O,12
2023,C,MCM,F,138
2023,C,MCM,M,536
2023,C,MCM,H,1837
2023,C,MCM,S,5164
2023,C,MCM,U,16
2023,C,MCM,D,303
2023,C,MCM,N,5
2023,D,ICM,O,3
2023,D,ICM,F,75
2023,D,ICM,M,65
2023,D,ICM,H,194
2023,D,ICM,S,714
2023,D,ICM,U,5
2023,D,ICM,D,0
2023,D,ICM,N,1
2023,E,ICM,O,8
2023,E,ICM,F,118
2023,E,ICM,M,365
2023,E,ICM,H,1301
2023,E,ICM,S,3553
2023,E,ICM,U,84
2023,E,ICM,D,341
2023,E,ICM,N,10
2023,F,ICM,O,4
2023,F,ICM,F,84
2023,F,ICM,M,165
2023,F,ICM,H,516
2023,F,ICM,S,1697
2023,F,ICM,U,47
2023,F,ICM,D,209
2023,F,ICM,N,4
2024,A,MCM,O,5
2024,A,MCM,F,90
2024,A,MCM,M,389
2024,A,MCM,H,1396
2024,A,MCM,S,3649
2024,A,MCM,U,36
2024,A,MCM,D,130
2024,A,MCM,N,3
2024,B,MCM,O,4
2024,B,MCM,F,96
2024,B,MCM,M,181
2024,B,MCM,H,588
2024,B,MCM,S,1705
2024,B,MCM,U,5
2024,B,MCM,D,64
2024,B,MCM,N,0
2024,C,MCM,O,11
2024,C,MCM,F,133
2024,C,MCM,M,604
2024,C,MCM,H,2306
2024,C,MCM,S,6768
2024,C,MCM,U,8
2024,C,MCM,D,346
2024,C,MCM,N,8
2024,D,ICM,O,4
2024,D,ICM,F,33
2024,D,ICM,M,152
2024,D,ICM,H,484
2024,D,ICM,S,1214
2024,D,ICM,U,3
2024,D,ICM,D,79
2024,D,ICM,N,1
2024,E,ICM,O,6
2024,E,ICM,F,101
2024,E,ICM,M,381
2024,E,ICM,H,1167
2024,E,ICM,S,3148
2024,E,ICM,U,72
2024,E,ICM,D,553
2024,E,ICM,N,8
2024,F,ICM,O,5
2024,F,ICM,F,62
2024,F,ICM,M,218
2024,F,ICM,H,728
2024,F,ICM,S,1697
2024,F,ICM,U,4
2024,F,ICM,D,263
2024,F,ICM,N,4
2025,A,MCM,O,5
2025,A,MCM,F,88
2025,A,MCM,M,142
2025,A,MCM,H,524
2025,A,MCM,S,1307
2025,A,MCM,U,4
2025,A,MCM,D,11
2025,A,MCM,N,1
2025,B,MCM,O,7
2025,B,MCM,F,116
2025,B,MCM,M,440
2025,B,MCM,H,1578
2025,B,MCM,S,4178
2025,B,MCM,U,2
2025,B,MCM,D,107
2025,B,MCM,N,8
2025,C,MCM,O,18
2025,C,MCM,F,139
2025,C,MCM,M,763
2025,C,MCM,H,2822
2025,C,MCM,S,8396
2025,C,MCM,U,25
2025,C,MCM,D,394
2025,C,MCM,N,20
2025,D,ICM,O,4
2025,D,ICM,F,28
2025,D,ICM,M,62
2025,D,ICM,H,214
2025,D,ICM,S,578
2025,D,ICM,U,1
2025,D,ICM,D,14
2025,D,ICM,N,1
2025,E,ICM,O,4
2025,E,ICM,F,73
2025,E,ICM,M,217
2025,E,ICM,H,769
2025,E,ICM,S,2186
2025,E,ICM,U,4
2025,E,ICM,D,66
2025,E,ICM,N,5
2025,F,ICM,O,5
2025,F,ICM,F,50
2025,F,ICM,M,147
2025,F,ICM,H,461
2025,F,ICM,S,1440
2025,F,ICM,U,1
2025,F,ICM,D,33
2025,F,ICM,N,2
